# time in seconds, z in cm, C solid phase volume fraction
#
0;-0.0460937 -0.0468749 -0.0476562 -0.0484374 -0.0492187 -0.0499999 -0.0507812 -0.0515624 -0.0523437 -0.0531249 -0.0539062 -0.0546874 -0.0554687 -0.0562499 -0.0570312 -0.0578124 -0.0585937 -0.0593749 -0.0601562 -0.0609374 -0.0617187 -0.0624999 -0.0632812 -0.0640624 -0.0648437 -0.065625 -0.0664062 -0.0671875 -0.0679687 -0.06875 -0.0695312 -0.0703125 -0.0710937 -0.071875 -0.0726562 -0.0734375 -0.0742187 -0.075 -0.0757812 -0.0765625 -0.0773437 -0.078125 -0.0789062 -0.0796875 -0.0804687 -0.08125 -0.0820312 -0.0828125 -0.0835937 -0.084375 -0.0851562 -0.0859375 -0.0867187 -0.0875 -0.0882812 -0.0890625 -0.0898437 -0.090625 -0.0914062 -0.0921875 -0.0929687 -0.09375 -0.0945312 -0.0953125 -0.0960937 -0.096875 -0.0976562 -0.0984375 -0.0992187 -0.1;0.19874 0.34182 0.46663 0.48366 0.48356 0.48141 0.48071 0.48891 0.49271 0.48757 0.48793 0.49048 0.49185 0.49067 0.49126 0.49543 0.49622 0.49324 0.49134 0.49179 0.48909 0.49248 0.48848 0.49172 0.49391 0.4926 0.49169 0.49465 0.49591 0.49311 0.49503 0.49667 0.50374 0.50523 0.50434 0.5048 0.50332 0.50301 0.50671 0.50995 0.51294 0.51763 0.51689 0.5108 0.50718 0.50417 0.50661 0.50744 0.51177 0.51661 0.51519 0.51594 0.5169 0.51307 0.51405 0.51983 0.52511 0.52689 0.52321 0.52696 0.53939 0.54717 0.55179 0.5578 0.56541 0.57379 0.58363 0.58709 0.58101 0.56377
#
60;-0.0460937 -0.0468749 -0.0476562 -0.0484374 -0.0492187 -0.0499999 -0.0507812 -0.0515624 -0.0523437 -0.0531249 -0.0539062 -0.0546874 -0.0554687 -0.0562499 -0.0570312 -0.0578124 -0.0585937 -0.0593749 -0.0601562 -0.0609374 -0.0617187 -0.0624999 -0.0632812 -0.0640624 -0.0648437 -0.065625 -0.0664062 -0.0671875 -0.0679687 -0.06875 -0.0695312 -0.0703125 -0.0710937 -0.071875 -0.0726562 -0.0734375 -0.0742187 -0.075 -0.0757812 -0.0765625 -0.0773437 -0.078125 -0.0789062 -0.0796875 -0.0804687 -0.08125 -0.0820312 -0.0828125 -0.0835937 -0.084375 -0.0851562 -0.0859375 -0.0867187 -0.0875 -0.0882812 -0.0890625 -0.0898437 -0.090625 -0.0914062 -0.0921875 -0.0929687 -0.09375 -0.0945312 -0.0953125 -0.0960937 -0.096875 -0.0976562 -0.0984375 -0.0992187 -0.1;0.12239 0.20404 0.40759 0.47317 0.47691 0.48274 0.48559 0.48583 0.48208 0.48643 0.49268 0.49327 0.48905 0.48692 0.49196 0.49524 0.49427 0.49238 0.49268 0.49638 0.49739 0.48993 0.48647 0.4896 0.49678 0.50112 0.49932 0.49734 0.49738 0.49861 0.50448 0.51095 0.51295 0.51128 0.50797 0.5048 0.50821 0.50617 0.50439 0.50505 0.50713 0.50946 0.5088 0.5056 0.50488 0.50793 0.51257 0.50672 0.50578 0.5094 0.51405 0.51722 0.51552 0.51824 0.52155 0.524 0.53165 0.53739 0.54014 0.54497 0.5591 0.57427 0.58675 0.59423 0.59317 0.59162 0.59795 0.59836 0.59339 0.57665
#
120;-0.0460937 -0.0468749 -0.0476562 -0.0484374 -0.0492187 -0.0499999 -0.0507812 -0.0515624 -0.0523437 -0.0531249 -0.0539062 -0.0546874 -0.0554687 -0.0562499 -0.0570312 -0.0578124 -0.0585937 -0.0593749 -0.0601562 -0.0609374 -0.0617187 -0.0624999 -0.0632812 -0.0640624 -0.0648437 -0.065625 -0.0664062 -0.0671875 -0.0679687 -0.06875 -0.0695312 -0.0703125 -0.0710937 -0.071875 -0.0726562 -0.0734375 -0.0742187 -0.075 -0.0757812 -0.0765625 -0.0773437 -0.078125 -0.0789062 -0.0796875 -0.0804687 -0.08125 -0.0820312 -0.0828125 -0.0835937 -0.084375 -0.0851562 -0.0859375 -0.0867187 -0.0875 -0.0882812 -0.0890625 -0.0898437 -0.090625 -0.0914062 -0.0921875 -0.0929687 -0.09375 -0.0945312 -0.0953125 -0.0960937 -0.096875 -0.0976562 -0.0984375 -0.0992187 -0.1;0.09849 0.09008 0.29755 0.46294 0.48493 0.48594 0.48536 0.49471 0.49888 0.49481 0.49092 0.49099 0.49183 0.49443 0.4986 0.49641 0.49747 0.49929 0.49458 0.49485 0.49572 0.49373 0.49595 0.50217 0.50121 0.50002 0.49871 0.49854 0.49907 0.50071 0.50444 0.50407 0.50567 0.51016 0.50913 0.50594 0.50802 0.50748 0.5042 0.50283 0.5101 0.51206 0.51212 0.51084 0.50646 0.50465 0.50752 0.5136 0.51577 0.51717 0.51487 0.51252 0.51311 0.52005 0.53222 0.54469 0.55627 0.56302 0.57324 0.58102 0.58486 0.5949 0.60146 0.59885 0.5965 0.59413 0.59449 0.59748 0.59226 0.57557
#
180;-0.0460937 -0.0468749 -0.0476562 -0.0484374 -0.0492187 -0.0499999 -0.0507812 -0.0515624 -0.0523437 -0.0531249 -0.0539062 -0.0546874 -0.0554687 -0.0562499 -0.0570312 -0.0578124 -0.0585937 -0.0593749 -0.0601562 -0.0609374 -0.0617187 -0.0624999 -0.0632812 -0.0640624 -0.0648437 -0.065625 -0.0664062 -0.0671875 -0.0679687 -0.06875 -0.0695312 -0.0703125 -0.0710937 -0.071875 -0.0726562 -0.0734375 -0.0742187 -0.075 -0.0757812 -0.0765625 -0.0773437 -0.078125 -0.0789062 -0.0796875 -0.0804687 -0.08125 -0.0820312 -0.0828125 -0.0835937 -0.084375 -0.0851562 -0.0859375 -0.0867187 -0.0875 -0.0882812 -0.0890625 -0.0898437 -0.090625 -0.0914062 -0.0921875 -0.0929687 -0.09375 -0.0945312 -0.0953125 -0.0960937 -0.096875 -0.0976562 -0.0984375 -0.0992187 -0.1;0.09265 0.03399 0.16095 0.38893 0.48159 0.49231 0.48943 0.48601 0.48993 0.49153 0.49083 0.49028 0.49247 0.49286 0.49634 0.49647 0.49142 0.49486 0.49336 0.4957 0.50015 0.50123 0.49997 0.49909 0.49893 0.50072 0.49628 0.49585 0.49925 0.50006 0.50203 0.50735 0.51181 0.51069 0.50951 0.50785 0.50733 0.5083 0.50511 0.50168 0.51027 0.51337 0.5116 0.51243 0.50929 0.50653 0.50816 0.51024 0.51246 0.5132 0.51974 0.53046 0.53671 0.54991 0.56676 0.57514 0.58111 0.58384 0.5898 0.592 0.59068 0.59522 0.60207 0.59922 0.59508 0.59653 0.5995 0.60264 0.5949 0.58018
#
240;-0.0460937 -0.0468749 -0.0476562 -0.0484374 -0.0492187 -0.0499999 -0.0507812 -0.0515624 -0.0523437 -0.0531249 -0.0539062 -0.0546874 -0.0554687 -0.0562499 -0.0570312 -0.0578124 -0.0585937 -0.0593749 -0.0601562 -0.0609374 -0.0617187 -0.0624999 -0.0632812 -0.0640624 -0.0648437 -0.065625 -0.0664062 -0.0671875 -0.0679687 -0.06875 -0.0695312 -0.0703125 -0.0710937 -0.071875 -0.0726562 -0.0734375 -0.0742187 -0.075 -0.0757812 -0.0765625 -0.0773437 -0.078125 -0.0789062 -0.0796875 -0.0804687 -0.08125 -0.0820312 -0.0828125 -0.0835937 -0.084375 -0.0851562 -0.0859375 -0.0867187 -0.0875 -0.0882812 -0.0890625 -0.0898437 -0.090625 -0.0914062 -0.0921875 -0.0929687 -0.09375 -0.0945312 -0.0953125 -0.0960937 -0.096875 -0.0976562 -0.0984375 -0.0992187 -0.1;0.08607 0.01172 0.06097 0.26695 0.45376 0.49167 0.49027 0.48703 0.48643 0.48809 0.48886 0.49102 0.49323 0.49326 0.49181 0.48888 0.49354 0.49665 0.49477 0.49918 0.49741 0.49463 0.49265 0.49716 0.50364 0.50517 0.50311 0.50267 0.50569 0.50476 0.50749 0.51199 0.50989 0.51191 0.51629 0.51047 0.50622 0.50936 0.50969 0.50865 0.51031 0.51681 0.517 0.51148 0.51451 0.51668 0.51546 0.51715 0.52306 0.53293 0.5451 0.55722 0.56929 0.57688 0.58409 0.58898 0.59205 0.59673 0.59406 0.58898 0.58936 0.59854 0.60337 0.60203 0.60267 0.59999 0.60108 0.59792 0.58967 0.58806
#
